Morpheus 180Ml,0.0,0.0,0.0,0.0,310.0
Morpheus 375Ml,0.0,0.0,0.0,0.0,570.0
Morpheus 750Ml,0.0,0.0,0.0,0.0,1090.0
Royal Stag Barrel 750Ml,0.0,0.0,0.0,0.0,950.0
Bp 180Ml,0.0,0.0,0.0,0.0,340.0
Bp 750Ml,0.0,0.0,0.0,0.0,1350.0
Magic Moments Orange 750Ml,0.0,0.0,0.0,0.0,910.0
Magic Moments Green 750Ml,0.0,0.0,0.0,0.0,910.0
Smirnoff Orange 180Ml,0.0,0.0,0.0,0.0,300.0
Smirnoff Orange 750Ml,0.0,0.0,0.0,0.0,1190.0
Absolut 180Ml,0.0,0.0,0.0,0.0,660.0
Absolut 750Ml,0.0,0.0,0.0,0.0,2590.0
Ballanties 750Ml,0.0,0.0,0.0,0.0,2640.0
Teachers 750Ml,0.0,0.0,0.0,0.0,2440.0
Legacy 750Ml,0.0,0.0,0.0,0.0,1340.0
Black & White 750Ml,0.0,0.0,0.0,0.0,2410.0
William Lawsons 750Ml,0.0,0.0,0.0,0.0,2200.0
Black Label 750Ml,0.0,0.0,0.0,0.0,5050.0
100 Pipers 750Ml,0.0,0.0,4500.0,0.0,2520.0
Morpheus Blue 750Ml,0.0,0.0,0.0,0.0,1360.0
Cnb Green 180Ml,0.0,0.0,0.0,0.0,310.0
Cnb Green 750Ml,0.0,0.0,0.0,0.0,1200.0
Cnb Red 180Ml,0.0,0.0,0.0,0.0,240.0
Cnb Red 750Ml,0.0,0.0,0.0,0.0,940.0
Signature 180Ml,0.0,0.0,0.0,0.0,330.0
Signature 750Ml,0.0,0.0,0.0,0.0,1340.0
Old Monk 750Ml,0.0,0.0,0.0,0.0,850.0
B7 Whisky 750Ml,0.0,0.0,0.0,0.0,730.0
B10 Whisky 750Ml,0.0,0.0,0.0,0.0,1240.0
CHICKEN CURRY BONES,350.0,370.0,400.0,370.0,350.0
Oc Whisky 180Ml,0.0,0.0,0.0,0.0,170.0
Hydarabad Blue 180Ml,0.0,0.0,0.0,0.0,170.0
Whytehall 180Ml,0.0,0.0,0.0,0.0,170.0
Chivas Regal 750Ml,0.0,0.0,0.0,0.0,5240.0
Black & Gold 750Ml,0.0,0.0,0.0,0.0,730.0
Mc Vsop 750Ml,0.0,0.0,0.0,0.0,730.0
Britesh Wh 750Ml,0.0,0.0,0.0,0.0,890.0
Kyra Wine 750Ml,0.0,0.0,0.0,0.0,830.0
Sidus Wine 750Ml,0.0,0.0,0.0,0.0,640.0
Elite Wine 750Ml,0.0,0.0,0.0,0.0,830.0
Im Whisky 180Ml,0.0,0.0,0.0,0.0,220.0
Im Whisky 375Ml,0.0,0.0,0.0,0.0,390.0
Im Whisky 750Ml,0.0,0.0,0.0,0.0,740.0
